Number,State,Value,Param learning_rate,Param max_depth,Param n_estimators,Param reg_alpha,Param reg_lambda,Param subsample
20,COMPLETE,0.9852327544270727,0.25501130486412427,4,118,1.0130271067793049,1.8876730609508408,0.9421071142691648
21,COMPLETE,0.9880720502817008,0.21964318111027337,2,195,0.018745843064935652,0.4825118459163369,0.6153422402097949
22,COMPLETE,0.9886389404096726,0.12443235553526279,3,139,0.7169575690131336,1.4156869218409462,0.7244745347691549
23,COMPLETE,0.9880720502817008,0.17202445175010275,2,101,0.4681111065891511,0.7710149177017587,0.5023923492067157
24,COMPLETE,0.9880730193246544,0.23957669772026308,2,180,1.0615315367485958,2.5799548366909386,0.6555924851292524
25,COMPLETE,0.9903444560083571,0.20116700059866832,3,124,0.009079569903362561,1.5941097777720752,0.5716574274232441
26,COMPLETE,0.9892087376665059,0.19271542976417624,3,125,1.9128463002444724,1.6368292047333048,0.5835329138413305
27,COMPLETE,0.9857996445550445,0.1622275637448686,3,53,0.0996044637207838,4.941749825574165,0.8126418632732268
28,COMPLETE,0.9858015826409522,0.140453026261323,3,76,2.7770152559471275,2.265729994470325,0.5353868078489323
29,COMPLETE,0.986934393853942,0.2660743393881358,4,93,0.4413694862700256,0.268780923612038,0.6033085428402988
30,COMPLETE,0.9880720502817008,0.0878582387507874,3,75,0.8455363751562963,2.9237770093889592,0.7189834861471538
31,COMPLETE,0.9897756277944776,0.2227647025581581,3,152,0.35266486683236664,0.9433939311022169,0.6646089249630938
32,COMPLETE,0.9909123151792826,0.2063825134185525,3,159,0.3404491973952468,0.9437074309176641,0.5667507362177996
33,COMPLETE,0.9909123151792826,0.1859611294627674,3,180,0.02398798783313527,1.0683389747352747,0.5621427874954947
34,COMPLETE,0.9909123151792826,0.20298572039311902,3,216,0.04562511445907403,0.9944131545512703,0.562352697241547
35,COMPLETE,0.9909113461363289,0.18323879103976307,3,214,0.37480011366845306,0.2880602650720663,0.5408295385278494
36,COMPLETE,0.9863665346830164,0.1841807688857275,4,298,0.6625956135855913,0.33125351356678734,0.6337277128459471
37,COMPLETE,0.9914801743502082,0.15855086372172614,3,215,0.41486612120055527,1.008710925137758,0.5461741059826021
38,COMPLETE,0.9858006135979984,0.14207739507104836,3,242,4.094591238978892,1.068989921916149,0.5563872194928852
39,COMPLETE,0.9880720502817008,0.15732066098800462,3,280,0.7018253727633166,3.103889030677653,0.5241132826093329
40,COMPLETE,0.989207768623552,0.203404701120713,3,183,0.33240169352095617,0.9773957170073189,0.6366341399746804
41,COMPLETE,0.9909113461363289,0.15880214109824647,3,212,0.35247278402148846,0.21818031298923168,0.5461499033096763
42,COMPLETE,0.9892087376665059,0.18140436715022984,3,166,0.5512342476479651,1.3941018884876213,0.5039132954890453
43,COMPLETE,0.9869363319398495,0.23925745408883967,3,213,3.277461703814491,2.1566600728789966,0.5972700363623042
44,COMPLETE,0.9897756277944776,0.1883448001550318,3,224,0.2584620501465338,0.42884139290321927,0.5682554556480044
45,COMPLETE,0.9880730193246544,0.2080338770062215,3,239,1.1770842402538202,0.954765534359792,0.5355201585316257
46,COMPLETE,0.9886418475385339,0.17141130211489622,3,256,0.8963829362061668,0.09389004930596101,0.6194848691551876
47,COMPLETE,0.9897756277944776,0.19523028193680336,3,164,0.2451479981564378,1.4708724237420343,0.6887745340441562
48,COMPLETE,0.9903444560083571,0.1517239464259918,3,189,0.5413502716081964,1.1302929298600213,0.5621369047358423
49,COMPLETE,0.986368472768924,0.25298038401850526,3,208,1.600193372799151,3.3628849152801923,0.5163845021300435
